carat,cut,color,clarity,depth,table,x,y,z,price_predicted
1.09,Very Good,G,VS2,60.9,56.0,6.67,6.7,4.07,6081.361762133599
1.22,Very Good,I,VS1,61.6,60.0,6.86,6.8,4.21,7979.534479078252
0.31,Ideal,D,VS1,60.5,55.0,4.43,4.39,2.67,473.51472502426304
0.42,Ideal,G,IF,62.7,56.0,4.76,4.77,2.99,1898.4252245215266
0.3,Premium,F,VS2,60.7,58.0,4.35,4.32,2.63,321.0342858257791
1.31,Premium,J,SI1,60.7,58.0,7.11,7.06,4.3,7276.488209556793
1.01,Good,F,SI2,64.3,59.0,6.33,6.26,4.05,4002.419599030016
1.26,Premium,H,SI2,61.3,57.0,6.96,6.87,4.24,6080.086748774957
2.23,Premium,J,SI2,60.5,61.0,8.47,8.4,5.1,14768.474236236487
0.72,Good,F,SI1,60.4,61.0,5.75,5.8,3.49,2266.6684202388137
1.0,Fair,F,VS2,64.7,59.0,6.22,6.15,4.0,5415.714101078362
0.53,Good,I,VS1,64.3,55.0,5.17,5.13,3.31,1544.9811375672653
2.01,Very Good,G,SI1,63.1,59.0,8.03,7.98,5.05,14597.73871085105
0.32,Ideal,D,VVS2,61.3,55.8,4.43,4.44,2.71,722.6996847445848
1.04,Ideal,H,SI1,62.7,54.0,6.51,6.47,4.07,5206.030764103031
1.22,Ideal,G,IF,61.7,56.0,6.87,6.91,4.25,11246.01597276645
1.0,Good,H,SI1,63.7,60.0,6.33,6.3,4.02,4656.137164433516
0.31,Ideal,D,IF,61.1,56.0,4.39,4.42,2.69,642.2089285474326
2.01,Premium,H,VS2,62.8,58.0,7.99,7.9,4.99,16015.518794698462
0.36,Ideal,F,VS1,61.3,54.0,4.63,4.65,2.84,772.9754375302182
0.39,Very Good,I,VVS2,62.7,58.0,4.65,4.67,2.92,1089.3227993276892
0.33,Premium,G,VS1,61.6,58.0,4.44,4.39,2.72,565.7601193710161
0.32,Premium,I,IF,60.3,58.0,4.45,4.41,2.67,837.6977928052306
0.4,Ideal,F,SI2,62.1,54.0,4.75,4.78,2.96,749.2404833885521
1.0,Very Good,D,SI1,62.1,61.0,6.3,6.32,3.92,4914.352077680594
0.33,Fair,H,VVS2,65.1,59.0,4.4,4.32,2.84,392.70232695818413
1.5,Ideal,G,VS1,61.3,56.0,7.41,7.37,4.53,11146.406412801194
0.81,Very Good,I,VS1,63.2,59.0,5.9,5.84,3.71,4163.494743475383
0.32,Very Good,G,VVS1,60.9,57.0,4.41,4.44,2.69,565.0985994981938
1.11,Very Good,H,VS1,63.2,57.0,6.61,6.53,4.15,6937.777472666885
0.5,Ideal,H,VS2,60.8,56.0,5.17,5.19,3.14,1532.243252379741
0.33,Good,I,VS1,63.1,56.0,4.38,4.4,2.77,359.48062195496414
0.27,Fair,E,VS1,66.4,58.0,3.99,4.02,2.66,401.45704075298516
1.7,Ideal,H,I1,61.3,55.0,7.7,7.63,4.7,6090.774208316037
0.4,Very Good,E,SI1,60.8,62.0,4.72,4.76,2.88,623.9567032773393
1.51,Good,E,SI2,63.1,58.0,7.28,7.31,4.6,8110.904123359974
0.3,Very Good,E,VS2,61.9,61.0,4.28,4.32,2.66,591.6639470788491
0.64,Very Good,D,SI1,63.7,54.0,5.47,5.52,3.5,2033.787378755828
0.9,Good,F,SI1,62.8,64.0,6.18,5.99,3.82,3564.988935727727
1.0,Very Good,H,SI2,60.2,61.0,6.44,6.48,3.89,3877.5442975897045
1.01,Ideal,D,VS2,59.8,56.0,6.49,6.52,3.89,5732.833044303718
0.41,Very Good,E,SI1,62.9,57.0,4.72,4.76,2.98,765.7963424105319
1.0,Fair,F,VS2,68.4,58.0,5.97,6.1,4.13,5938.043595025987
0.31,Very Good,G,SI1,61.5,59.0,4.34,4.38,2.68,360.1522999063104
1.03,Very Good,D,SI2,61.8,60.0,6.42,6.45,3.98,4301.485114946276
1.03,Premium,H,SI1,61.9,58.0,6.49,6.43,4.0,4952.831068736056
0.91,Premium,G,VVS2,61.8,58.0,6.24,6.16,3.83,6073.030678145808
0.31,Very Good,E,VVS1,60.0,56.0,4.45,4.49,2.68,649.1625370813528
0.8,Very Good,E,SI1,62.9,60.0,5.87,5.89,3.7,3223.5685318480937
1.02,Very Good,D,SI1,62.7,60.0,6.34,6.39,3.99,5105.023814553713
1.0,Ideal,G,VS1,62.5,54.0,6.41,6.45,4.02,6146.310237399945
0.34,Premium,D,SI1,62.8,58.0,4.48,4.44,2.8,531.8881789654179
1.0,Ideal,G,VS2,62.3,54.0,6.42,6.38,3.99,5738.016271717738
0.73,Ideal,G,VS2,61.7,56.0,5.79,5.81,3.58,3375.680199366352
0.34,Good,E,SI1,63.3,57.0,4.44,4.47,2.82,359.0272861999074
1.0,Premium,J,SI1,62.8,59.0,6.37,6.27,3.97,4828.998057199027
0.54,Ideal,G,VS1,61.8,55.3,5.22,5.24,3.23,2097.648377530097
1.02,Very Good,F,SI2,60.9,58.0,6.43,6.55,3.95,4193.020289337974
0.8,Very Good,G,VVS2,62.5,56.0,5.95,5.98,3.73,4815.919761024141
0.31,Very Good,H,SI1,61.0,61.0,4.33,4.39,2.66,395.86899018013855
2.0,Premium,D,SI2,61.6,59.0,8.2,8.09,5.02,12480.221510399242
1.5,Premium,J,VVS2,61.5,60.0,7.31,7.27,4.48,13173.601793932738
1.22,Premium,I,SI2,62.5,58.0,6.8,6.76,4.24,5980.54061429556
0.72,Very Good,I,VS2,61.8,60.0,5.72,5.76,3.55,3018.927138147601
0.3,Good,G,SI2,63.3,57.0,4.25,4.28,2.7,554.1133330563365
0.54,Good,E,VS2,60.2,61.0,5.27,5.32,3.19,1321.3882893805985
1.02,Premium,F,SI1,62.3,58.0,6.38,6.46,4.0,5167.613771922586
1.01,Very Good,F,VS2,63.1,60.0,6.39,6.29,4.0,5566.617859845727
0.3,Ideal,G,IF,60.9,56.0,4.34,4.36,2.65,569.0472880669322
1.19,Premium,I,SI2,61.6,56.0,6.87,6.83,4.22,5431.772323329601
1.51,Good,I,SI2,63.6,60.0,7.23,7.27,4.61,8235.731596969359
1.02,Good,G,I1,57.4,59.0,6.64,6.6,3.8,2631.2691660678047
3.22,Ideal,I,I1,62.6,55.0,9.49,9.42,5.92,12533.021496564881
0.41,Ideal,E,SI1,62.9,57.0,4.76,4.72,2.98,934.1245788394926
0.52,Very Good,D,SI2,62.4,59.0,5.05,5.15,3.18,1155.2235227375959
1.52,Premium,D,SI1,60.8,61.0,7.39,7.26,4.45,9472.620807841024
0.36,Ideal,H,VVS1,62.0,54.0,4.59,4.61,2.85,1005.0123697016047
0.51,Premium,D,SI1,62.7,59.0,5.08,5.06,3.18,1353.1447008590476
0.53,Premium,J,VS2,62.7,56.0,5.18,5.15,3.24,1733.1124462027774
1.01,Good,F,SI2,61.3,62.0,6.44,6.48,3.96,3790.026493934658
0.7,Good,F,I1,63.9,60.0,5.65,5.52,3.58,975.6126071845774
0.34,Ideal,H,VS2,61.2,55.0,4.49,4.53,2.76,761.5761635201447
1.04,Premium,G,VS2,62.2,58.0,6.49,6.4,4.01,5951.160637599548
0.39,Premium,E,VS2,60.1,61.0,4.76,4.72,2.85,698.1021077138944
1.01,Premium,F,VS1,61.7,58.0,6.4,6.43,3.96,6138.376915742549
0.3,Very Good,F,VVS1,62.6,56.0,4.27,4.29,2.68,639.5723765249938
1.71,Ideal,G,VS1,63.0,56.0,7.65,7.58,4.8,13621.357244601077
1.1,Premium,H,VS2,61.4,58.0,6.68,6.62,4.08,6375.327947500409
1.15,Ideal,H,SI2,62.6,55.0,6.74,6.65,4.19,5427.404000788992
0.32,Ideal,H,VS1,61.8,55.0,4.41,4.42,2.73,662.4432409801198
2.01,Premium,G,SI2,59.9,62.0,8.15,8.04,4.85,12727.204690814091
0.24,Very Good,G,VVS1,61.7,56.0,3.98,4.02,2.46,362.1818069143951
0.41,Very Good,E,SI2,62.9,58.0,4.74,4.77,2.99,471.3576333725632
0.28,Very Good,D,VVS1,60.6,58.0,4.23,4.25,2.57,377.9043159339403
0.31,Premium,D,SI1,60.9,60.0,4.38,4.39,2.67,395.54631925588274
0.45,Good,F,VS2,56.8,62.0,5.1,5.14,2.91,450.4582841878778
0.44,Very Good,E,VS1,60.7,58.0,4.88,4.91,2.97,1049.4020703634396
0.37,Ideal,F,VVS1,61.3,56.0,4.65,4.68,2.86,991.0392576330519
0.9,Premium,G,VS2,62.4,61.0,6.17,6.13,3.84,4713.383491786943
0.53,Ideal,F,SI2,62.2,53.0,5.19,5.22,3.24,1341.5522937355177
0.54,Premium,I,IF,58.8,61.0,5.35,5.29,3.13,3148.866921076116
1.0,Very Good,E,VS2,59.0,58.0,6.49,6.53,3.84,5231.853364434952
0.32,Ideal,F,IF,61.3,57.0,4.42,4.46,2.72,735.2955518933709
1.23,Premium,H,SI2,61.2,57.0,6.89,6.86,4.21,5895.920798908083
1.02,Very Good,E,SI2,62.8,55.0,6.4,6.43,4.03,4222.660528525208
0.56,Premium,E,VVS2,59.2,56.0,5.49,5.39,3.22,2110.9779262907045
0.43,Ideal,H,IF,62.2,55.0,4.87,4.84,3.02,2016.4709182901897
0.52,Ideal,G,VS1,62.1,54.0,5.14,5.17,3.2,1981.6209330703748
0.38,Very Good,G,SI1,61.8,53.7,4.67,4.69,2.9,464.46900034149985
0.9,Very Good,I,VVS1,63.4,57.0,6.09,6.12,3.87,6495.2383311060485
1.72,Premium,H,SI1,62.0,57.0,7.67,7.63,4.74,11603.968924713408
0.31,Very Good,H,SI1,61.7,59.0,4.36,4.39,2.7,302.3168883683006
2.02,Premium,F,SI2,61.0,59.0,8.2,8.13,4.98,12752.818077121683
0.56,Ideal,E,VVS2,61.0,56.0,5.32,5.36,3.26,2625.9348134424017
0.42,Ideal,G,IF,62.0,57.0,4.82,4.8,2.98,1901.4456770558982
0.34,Very Good,I,SI1,61.3,61.0,4.45,4.49,2.74,492.5060636978683
0.43,Ideal,G,VS1,62.3,56.0,4.82,4.85,3.01,1371.3001096003063
1.51,Fair,J,SI1,63.4,60.0,7.31,7.18,4.59,9077.199693227245
0.32,Very Good,G,VS2,60.2,57.0,4.42,4.45,2.67,668.3272204018451
1.24,Premium,G,VS1,62.0,55.0,6.95,6.89,4.29,8245.28647842342
0.31,Ideal,E,VS1,61.4,56.0,4.38,4.35,2.68,578.6509711847893
1.32,Ideal,G,VVS2,62.3,57.0,6.96,7.04,4.36,11204.244710109208
1.02,Ideal,H,SI2,61.6,55.0,6.49,6.43,3.98,4392.80429758605
0.7,Very Good,J,VS2,61.1,61.0,5.64,5.69,3.46,2912.6535720750294
1.0,Premium,F,VS1,62.7,55.0,6.39,6.34,3.99,6008.5523163201915
0.41,Ideal,G,VS2,61.4,59.0,4.78,4.76,2.93,1111.8918590566645
0.52,Premium,G,SI1,59.7,60.0,5.22,5.2,3.11,1121.8650535820339
0.51,Very Good,D,VS2,60.5,60.0,5.16,5.19,3.13,1322.845546434476
0.3,Premium,D,SI1,61.7,59.0,4.28,4.31,2.65,529.2857688030808
0.39,Good,D,VVS2,58.1,60.0,4.82,4.85,2.81,584.1645539578908
0.38,Premium,G,IF,62.5,60.0,4.64,4.61,2.89,1490.9140433326215
1.01,Premium,F,SI2,58.3,58.0,6.56,6.55,3.82,3906.959062882018
1.36,Ideal,G,SI1,60.9,56.0,7.15,7.16,4.36,8061.874331601281
1.21,Ideal,I,SI1,60.6,55.0,6.92,6.87,4.18,6520.06549140086
0.3,Very Good,F,IF,62.1,57.0,4.26,4.3,2.66,536.5542431645968
0.41,Premium,D,VVS1,62.2,58.0,4.77,4.71,2.95,1432.9659606087093
2.03,Premium,J,VS1,59.3,60.0,8.36,8.28,4.93,16510.901532952845
0.36,Ideal,D,SI1,62.5,56.0,4.55,4.57,2.85,811.801250808142
0.4,Premium,D,SI1,61.4,56.0,4.83,4.72,2.93,418.39920338320553
2.11,Premium,D,SI2,60.9,60.0,8.28,8.21,5.02,13702.465917759553
1.06,Ideal,H,SI1,63.0,55.0,6.49,6.44,4.08,5538.480141234324
0.33,Good,I,VS1,63.2,57.0,4.37,4.4,2.77,381.39183366769475
0.72,Premium,E,IF,61.3,60.0,5.74,5.71,3.51,5287.840518447238
1.51,Good,J,SI1,62.4,64.0,7.31,7.23,4.54,9255.460473672136
1.0,Premium,G,VS2,62.9,56.0,6.42,6.27,3.99,5550.222602475813
1.02,Ideal,F,SI1,62.8,55.0,6.43,6.4,4.03,5140.095162979029
0.43,Ideal,E,SI2,62.1,56.0,4.85,4.84,3.01,870.7668487714427
1.0,Fair,G,I1,66.4,59.0,6.16,6.09,4.07,2219.0566163746817
1.7,Premium,I,SI1,58.6,59.0,7.79,7.75,4.55,11000.473115238274
0.72,Ideal,D,SI2,61.1,58.0,5.76,5.79,3.53,2382.7889663240603
1.22,Premium,G,SI1,63.0,57.0,6.84,6.74,4.28,6696.855370894996
1.06,Good,F,VS1,58.5,57.0,6.68,6.73,3.92,5928.116026156564
1.11,Ideal,H,SI1,60.2,54.0,6.82,6.7,4.07,5336.454281720375
1.01,Premium,H,SI2,61.9,59.0,6.42,6.37,3.96,4224.419482128604
1.06,Premium,G,VVS1,61.1,58.0,6.53,6.57,4.0,8297.771810923377
1.54,Premium,E,SI2,59.0,62.0,7.59,7.56,4.47,8147.301727682525
0.56,Very Good,E,SI1,58.5,59.0,5.42,5.45,3.18,1023.2618410208329
0.25,Good,F,VS1,63.6,57.0,4.01,4.04,2.56,411.9237940093516
0.9,Ideal,D,SI1,61.6,56.0,6.19,6.21,3.82,4100.3158374809655
0.56,Fair,E,SI2,64.5,61.0,5.18,5.14,3.33,855.6344911126962
0.31,Ideal,F,IF,60.8,56.0,4.43,4.45,2.7,623.2907631934509
0.39,Very Good,D,VS2,60.2,59.0,4.74,4.76,2.86,558.876287268637
1.01,Premium,F,VS1,59.4,60.0,6.5,6.46,3.85,5922.579657917584
2.02,Ideal,I,SI1,62.4,56.0,8.07,8.11,5.05,14984.96174413456
1.03,Ideal,D,SI2,61.2,57.0,6.51,6.59,4.01,4537.627574600612
1.57,Premium,H,VS1,61.7,58.0,7.47,7.56,4.64,11859.046023639394
0.31,Very Good,D,IF,62.0,56.0,4.33,4.35,2.69,652.5863019103467
0.5,Premium,D,SI1,61.1,59.0,5.08,5.04,3.09,1202.2397490527546
0.3,Ideal,E,VS2,62.4,57.0,4.29,4.24,2.66,626.3486888619336
1.22,Very Good,D,SI2,62.2,58.0,6.85,6.91,4.28,5693.181552078151
0.27,Very Good,F,VVS2,61.9,58.0,4.17,4.2,2.59,523.7556582242777
0.41,Ideal,E,VVS1,61.9,55.0,4.79,4.78,2.96,1392.0433990076426
1.24,Premium,F,SI1,61.6,59.0,6.9,6.86,4.24,6847.8223215763055
0.41,Very Good,I,VVS1,62.0,56.0,4.75,4.77,2.95,1249.6296970094393
0.4,Ideal,G,SI2,62.5,53.0,4.75,4.79,2.98,753.9546755738011
1.01,Ideal,F,SI1,62.0,57.0,6.38,6.42,3.97,5163.241006205332
1.5,Premium,I,VS1,62.7,59.0,7.25,7.3,4.56,11319.825268102806
0.56,Ideal,D,SI2,61.3,56.0,5.3,5.33,3.26,1457.912771574583
0.36,Ideal,I,VS1,62.1,57.0,4.54,4.58,2.83,962.4416712393227
1.51,Premium,I,VS2,59.9,60.0,7.42,7.36,4.43,10411.64387318891
1.3,Very Good,I,VS1,62.1,59.0,6.97,7.01,4.34,8896.045031179023
0.32,Ideal,G,VVS1,61.7,56.0,4.41,4.37,2.71,904.0714804451711
0.26,Very Good,E,SI1,62.0,54.0,4.08,4.11,2.54,339.35726552275446
1.51,Very Good,E,SI2,61.8,57.0,7.34,7.32,4.53,8157.58492737053
0.33,Premium,E,VVS1,60.1,58.0,4.51,4.47,2.7,670.6835192776555
1.34,Ideal,G,VS1,62.7,57.0,7.04,7.1,4.43,9658.627780802359
1.01,Good,E,SI1,63.2,59.0,6.25,6.28,3.96,5038.383762391843
1.0,Premium,G,VS2,60.0,59.0,6.54,6.46,3.9,5306.814362397981
1.42,Ideal,F,VVS1,60.8,56.0,7.25,7.32,4.43,13065.15392943566
0.9,Premium,H,VS2,61.2,61.0,6.18,6.08,3.75,4690.20045850563
1.01,Very Good,E,VS2,63.4,60.0,6.37,6.31,4.02,5609.461074833878
0.36,Premium,D,VS2,60.5,58.0,4.63,4.6,2.79,559.0124749820893
0.7,Premium,E,SI1,59.1,62.0,5.8,5.74,3.41,2111.06803179101
0.37,Good,G,SI2,63.3,55.0,4.58,4.61,2.91,751.7494738437659
0.91,Very Good,E,SI1,63.3,56.0,6.12,6.17,3.89,4131.118091304635
0.8,Ideal,H,VS2,62.8,57.0,5.91,5.87,3.7,4075.1911031106556
0.9,Good,E,SI2,63.4,60.0,6.02,6.07,3.83,3408.1233611847297
0.31,Ideal,G,IF,61.7,56.0,4.38,4.34,2.69,798.6940226184238
1.51,Good,G,VS1,62.4,59.0,7.25,7.28,4.53,11120.554874336065
1.11,Premium,I,SI2,61.5,58.0,6.65,6.61,4.08,4945.311569670036
0.41,Ideal,H,VS1,61.0,54.0,4.84,4.8,2.94,1038.3704542148375
1.01,Very Good,J,SI2,62.8,59.0,6.34,6.37,3.99,4239.926567243453
0.7,Ideal,D,VS2,61.6,58.0,5.66,5.7,3.5,3237.0309230813564
1.63,Ideal,G,VS1,61.7,55.0,7.6,7.56,4.68,12594.373531138786
1.61,Premium,D,SI2,61.3,58.0,7.56,7.49,4.61,9088.602220731062
0.72,Very Good,H,SI1,63.0,58.0,5.68,5.71,3.59,2599.760249532957
0.54,Premium,G,VS2,62.0,58.0,5.21,5.18,3.22,1807.0103020629253
1.22,Very Good,G,IF,62.0,59.0,6.8,6.85,4.23,11224.49223680829
0.33,Premium,G,IF,59.4,59.0,4.54,4.49,2.68,912.8730683086449
1.34,Very Good,G,VS2,60.7,59.0,7.04,7.07,4.28,8709.362153454698
0.76,Ideal,H,VVS1,61.8,57.0,5.82,5.86,3.61,4832.6402411475065
1.74,Ideal,E,SI2,62.3,57.0,7.8,7.7,4.83,10361.612282864597
0.32,Ideal,G,SI1,61.3,57.0,4.37,4.4,2.69,728.7001474250442
0.5,Ideal,F,VS2,61.1,58.0,5.1,5.13,3.13,1676.4698710297553
1.44,Good,G,I1,63.2,54.8,7.18,7.21,4.54,4635.820353832861
0.7,Fair,I,SI1,65.2,58.0,5.6,5.56,3.64,2186.3684001922757
0.52,Ideal,E,VS2,61.4,54.0,5.2,5.23,3.2,1742.102004348219
0.73,Very Good,G,VVS1,62.9,59.0,5.7,5.78,3.61,4344.252001152414
1.23,Premium,H,VS1,61.1,58.0,6.91,6.86,4.21,8187.8252327439495
1.02,Premium,H,VS2,61.9,57.0,6.5,6.4,3.99,5659.138307229239
1.0,Ideal,E,SI1,61.6,55.0,6.45,6.43,3.97,4807.645785847733
0.7,Very Good,D,SI1,61.1,58.0,5.66,5.73,3.48,2387.5143518142295
1.5,Very Good,E,SI2,62.8,57.0,7.17,7.23,4.52,8476.813722703871
2.0,Very Good,J,VVS2,63.0,59.0,7.97,8.0,5.03,19591.28911639326
0.3,Very Good,G,VS2,63.1,56.0,4.28,4.25,2.69,656.8098385863241
0.26,Premium,E,VVS2,58.9,61.0,4.19,4.16,2.46,607.0659438410819
0.58,Premium,E,SI1,62.7,58.0,5.33,5.32,3.34,1684.2703911097178
0.4,Very Good,F,VS1,60.4,61.0,4.74,4.77,2.87,773.5247580185319
0.26,Ideal,D,VS1,62.0,55.0,4.12,4.1,2.55,411.76248205600314
1.0,Fair,H,SI2,65.1,58.0,6.27,6.15,4.05,3781.7269741762457
0.52,Fair,F,VS1,57.2,59.0,5.35,5.39,3.07,868.091013733786
1.02,Premium,D,SI2,59.7,60.0,6.58,6.55,3.92,3976.355264932584
1.7,Good,I,SI1,59.3,58.0,7.72,7.77,4.59,10916.631667948051
1.01,Premium,H,SI2,61.6,61.0,6.39,6.31,3.91,4282.344874427338
0.55,Ideal,E,VS2,61.8,57.0,5.34,5.27,3.28,1856.6875344582859
1.04,Good,F,VS1,63.2,57.0,6.41,6.44,4.06,6204.092636021522
1.02,Premium,D,VS2,62.9,60.0,6.42,6.37,4.02,5825.667246266947
0.3,Ideal,F,SI1,62.3,54.0,4.3,4.27,2.67,604.3845743444626
0.97,Ideal,F,I1,60.7,56.0,6.43,6.41,3.9,3148.501746037792
0.31,Ideal,E,VS2,62.0,55.0,4.35,4.33,2.69,639.9449302611365
0.81,Ideal,H,VS1,61.8,58.0,5.97,6.04,3.71,4371.067044295135
1.02,Premium,D,SI1,62.3,59.0,6.42,6.38,3.99,5006.616385481068
0.3,Premium,I,VVS1,61.1,59.0,4.31,4.33,2.64,621.1249774804924
0.4,Very Good,E,VS1,62.8,59.0,4.63,4.67,2.92,1003.4985558507524
0.71,Very Good,F,VVS1,63.2,60.0,5.65,5.61,3.56,4321.481202775761
0.7,Premium,G,SI1,61.5,58.0,5.69,5.76,3.52,2463.15771777418
0.23,Ideal,E,SI2,61.5,55.0,3.95,3.98,2.43,514.2647033324874
1.09,Ideal,G,VS1,62.3,55.0,6.59,6.63,4.12,7047.918681437298
0.3,Ideal,E,VVS2,61.0,56.0,4.33,4.39,2.66,623.5409469162423
0.35,Premium,E,VS2,59.5,58.0,4.59,4.62,2.74,508.2976524032533
1.13,Ideal,F,VS2,62.1,56.0,6.65,6.71,4.15,7031.746275975076
0.31,Ideal,G,VVS1,61.5,54.0,4.36,4.39,2.69,748.1500457455813
1.33,Ideal,I,VS2,61.1,54.0,7.14,7.15,4.37,8733.451451549034
1.25,Premium,I,SI2,60.5,58.0,7.0,6.96,4.22,5880.697185571174
2.0,Fair,H,SI1,61.2,50.0,8.17,8.08,4.97,13753.454162437176
0.7,Ideal,G,SI1,62.5,56.0,5.67,5.69,3.55,2649.394690055028
0.39,Good,F,VS2,64.3,55.0,4.56,4.64,2.96,748.3047804307062
0.5,Ideal,E,VS2,60.8,57.0,5.16,5.13,3.13,1550.582364746153
0.3,Premium,E,VS2,61.6,58.0,4.33,4.31,2.66,362.5564314735034
1.37,Ideal,J,VS2,63.0,57.0,7.11,7.05,4.46,9334.07379886883
0.8,Ideal,H,VS2,62.1,54.0,5.96,5.99,3.71,3975.5691252360302
0.28,Very Good,F,VVS1,60.1,59.0,4.24,4.25,2.55,363.2658789198754
0.34,Good,E,SI1,60.5,60.1,4.5,4.53,2.73,681.6806984513031
0.3,Very Good,E,VS2,62.6,58.0,4.25,4.28,2.67,346.13562218418474
0.85,Ideal,E,SI2,62.8,57.0,6.06,6.01,3.79,3273.704427176618
1.0,Very Good,E,SI1,60.9,59.0,6.38,6.43,3.9,4714.739025884412
0.41,Premium,G,VS2,62.6,59.0,4.73,4.76,2.97,1033.8483659659714
1.5,Premium,G,VS2,60.3,60.0,7.34,7.26,4.4,10439.569777437435
0.72,Very Good,H,SI2,63.3,57.0,5.7,5.67,3.6,2069.8643456299915
0.33,Premium,G,VS1,62.0,59.0,4.42,4.36,2.72,606.2676834941326
0.39,Ideal,E,IF,61.5,55.5,4.68,4.72,2.88,1483.612060789616
0.4,Ideal,E,VS2,61.4,57.0,4.78,4.75,2.92,975.9309629483341
1.01,Good,F,SI1,63.5,59.0,6.29,6.38,4.02,4958.974190008227
1.02,Ideal,I,SI2,60.6,56.0,6.57,6.53,3.97,4210.051431677929
1.01,Ideal,D,SI1,63.0,56.0,6.36,6.41,4.02,5221.076417743339
0.7,Ideal,F,SI1,61.8,56.0,5.68,5.75,3.53,2645.40659413705
0.57,Very Good,F,VS2,59.5,57.0,5.39,5.43,3.22,1663.9685650398856
1.5,Very Good,F,SI1,63.9,58.0,7.12,7.16,4.56,9829.986383753536
1.01,Premium,J,SI2,59.3,56.0,6.51,6.45,3.84,4003.501383379907
0.51,Ideal,D,VS2,61.2,55.0,5.17,5.13,3.15,1665.1216533604083
1.0,Premium,E,SI2,61.7,58.0,6.39,6.34,3.93,4169.617551992365
0.71,Premium,E,VVS1,62.5,57.0,5.67,5.62,3.53,4384.0627143440815
0.52,Very Good,D,VVS2,59.8,55.0,5.28,5.35,3.18,1801.7173918778656
0.4,Good,I,IF,62.3,62.0,4.69,4.72,2.93,1532.9932043393367
0.81,Premium,I,VVS2,62.9,59.0,5.95,5.84,3.71,5103.6011727935265
0.53,Ideal,F,VVS2,61.3,55.0,5.23,5.27,3.22,2342.198809175311
2.02,Premium,I,SI2,59.4,59.0,8.25,8.21,4.89,12646.847372253293
2.11,Ideal,I,SI1,61.0,57.0,8.37,8.29,5.08,15407.585292272823
1.15,Ideal,D,VS2,58.5,57.0,6.96,6.93,4.06,6662.056414662649
0.7,Premium,I,VVS2,60.1,59.0,5.8,5.72,3.46,3674.899822269693
1.07,Premium,F,SI1,61.7,56.0,6.66,6.5,4.06,5021.78964269093
0.56,Ideal,H,SI1,61.9,54.0,5.3,5.33,3.29,1654.2733697538606
1.74,Ideal,G,VS2,62.9,57.0,7.68,7.64,4.82,13178.383487012648
0.31,Very Good,G,VVS2,62.2,56.0,4.31,4.34,2.69,550.1776584569584
0.5,Very Good,H,VVS2,62.9,56.0,5.03,5.08,3.18,2023.2323961353745
1.07,Ideal,D,VVS2,60.3,56.0,6.63,6.68,4.01,7927.128243091687
0.3,Premium,G,VS1,61.8,59.0,4.37,4.34,2.69,717.9591473219707
0.51,Ideal,E,SI1,62.1,55.0,5.09,5.15,3.18,1518.352072712859
0.91,Very Good,G,SI1,63.5,58.0,6.15,6.04,3.87,3978.641457117645
0.3,Very Good,H,SI1,61.3,58.0,4.29,4.33,2.64,351.5695487767639
0.7,Ideal,F,VS2,61.0,55.0,5.74,5.79,3.52,3073.144122724503
0.76,Ideal,D,VS1,61.7,56.0,5.84,5.87,3.61,3928.172427707101
1.15,Ideal,I,VS1,61.3,56.0,6.74,6.76,4.14,7584.362295424785
1.47,Premium,J,SI2,60.0,58.0,7.36,7.31,4.4,7802.305144928006
1.2,Ideal,G,SI1,61.8,59.0,6.77,6.8,4.19,6814.257766971006
1.07,Ideal,E,SI1,60.4,57.0,6.62,6.56,3.98,5329.319215221487
1.01,Ideal,F,SI1,62.0,54.0,6.41,6.49,4.0,5101.417498749344
0.28,Premium,G,VVS2,60.2,60.0,4.24,4.26,2.56,359.62107355317767
2.27,Premium,H,SI2,60.7,59.0,8.5,8.45,5.15,15213.314247715392
0.4,Premium,D,VS2,61.7,59.0,4.75,4.72,2.92,854.603898422682
0.39,Very Good,J,VS1,63.5,58.0,4.64,4.59,2.93,830.9564861037147
1.14,Premium,H,SI2,60.6,59.0,6.8,6.77,4.11,4970.295614555036
0.53,Ideal,E,VVS1,61.9,55.0,5.2,5.21,3.22,2385.4354349451464
0.4,Ideal,I,SI2,61.0,58.0,4.74,4.77,2.9,773.2631396733786
0.58,Premium,H,VS2,59.7,59.0,5.42,5.33,3.21,1915.0915354185418
0.7,Premium,D,SI1,61.2,58.0,5.74,5.7,3.5,2280.041610068484
0.55,Ideal,H,IF,61.5,55.0,5.25,5.29,3.25,3218.2444174604925
0.72,Very Good,I,VS2,63.3,57.0,5.66,5.72,3.6,3143.053218643965
0.3,Ideal,F,SI1,62.3,53.9,4.28,4.31,2.68,684.8832675652197
1.02,Ideal,H,SI1,61.9,57.0,6.46,6.4,3.98,5046.543061167191
0.51,Very Good,I,SI1,63.5,55.0,5.07,5.11,3.23,1251.3945177169376
0.65,Premium,E,SI2,62.6,59.0,5.54,5.49,3.45,1771.0968715274516
1.07,Ideal,H,SI1,61.1,56.0,6.63,6.6,4.04,5316.265806630409
0.43,Ideal,G,VVS1,61.8,55.0,4.87,4.9,3.02,1457.1522806499236
0.32,Premium,I,IF,60.3,58.0,4.41,4.45,2.67,710.0933555209408
0.28,Very Good,F,VS2,62.7,58.0,4.14,4.15,2.6,300.16367057256
1.7,Very Good,G,VS2,62.6,57.0,7.6,7.67,4.78,12439.572909431074
